Codigo_distrito,Nombre_distrito,Nombre_barrio,Nombre_calle,Dia_semana,Descripcion_tipo_dia,Descripcion_turno,Numero_muertos,Numero_lesionados_leves,Numero_lesionados_graves,Numero_victimas,Numero_vehiculos_implicados,Longitud,Latitud,fecha
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Ds,Laboral,Tarda,0,0,0,0,2,2.1354509999999998,41.347438000000004,2018-10-06 19:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Dc,Laboral,Tarda,0,1,0,1,2,2.1333439999999997,41.346716,2018-01-10 19:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dl,Laboral,Tarda,0,1,0,1,3,2.141785,41.347103000000004,2018-04-30 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Dl,Laboral,Tarda,0,1,0,1,2,2.134984,41.347799,2018-06-11 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Dj,Laboral,Tarda,0,2,0,2,2,2.1333439999999997,41.346716,2018-05-10 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Dj,Laboral,Tarda,0,1,0,1,2,2.134984,41.347799,2018-12-27 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Dc,Laboral,Tarda,0,1,0,1,2,2.134984,41.347799,2018-01-24 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors                                            ,Dm,Laboral,Tarda,0,1,0,1,2,2.136037,41.348158000000005,2018-02-27 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dc,Laboral,Tarda,0,1,0,1,2,2.1572459999999998,41.352392,2018-07-25 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Besòs)                                      ,Dj,Laboral,Matí,0,1,0,1,3,2.143989,41.347826,2018-05-03 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dj,Laboral,Tarda,0,1,0,1,2,2.1464630000000002,41.346533,2018-04-05 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dm,Laboral,Tarda,0,0,0,0,3,2.147027,41.349257,2018-11-27 19:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dj,Laboral,Tarda,0,1,0,1,2,2.147027,41.349257,2018-07-19 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dv,Laboral,Tarda,0,1,0,1,2,2.147027,41.349257,2018-02-09 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Metal·lúrgia                                      ,Dg,Laboral,Matí,0,1,0,1,1,2.137298,41.349394000000004,2018-02-18 12:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dc,Laboral,Matí,0,1,0,1,2,2.147027,41.349257,2018-09-05 08:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dm,Laboral,Tarda,0,1,0,1,2,2.1480639999999998,41.3497,2018-04-03 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Zona Franca                                       ,Dl,Laboral,Matí,0,1,0,1,2,2.145722,41.350563,2018-09-17 12:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Zona Franca                                       ,Dl,Laboral,Tarda,0,2,0,2,1,2.145722,41.350563,2018-08-13 17:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Zona Franca                                       ,Dg,Laboral,Nit,0,0,0,0,1,2.146414,41.350251,2018-09-16 22:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Zona Franca                                       ,Dm,Laboral,Matí,0,1,0,1,2,2.145473,41.351669,2018-02-20 13:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Motors / Zona Franca                              ,Dc,Laboral,Tarda,0,1,0,1,2,2.145666,41.351003999999996,2018-07-11 17:00:00
